id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
153,888 Casino Surprise Players With Raining Jackpots #sarcasm,0,0,0,0,0,0
154,8 am classes on Fridays next semester RIP me #sarcasm,0,0,0,0,0,0
155,8 am math classes are wonderful. #sarcasm,0,0,0,0,0,0
156,"8 and a half hour day at work on 3 hours sleep, 100% cannot do this #sarcasm",0,0,0,0,0,0
157,"8 and a half hour shift tomorrow 😔 I hate working but I love money, and with no money, I can't buy the things I want 😭 #sarcasm",0,0,0,0,0,0
158,8 more days of school then I get 2 months off yay! Then I'll have more time to stalk (watch heaps of vids ) #sarcasm,0,0,0,0,0,0
159,90/100 on my seminar. Pretty great for being such a busy week ✊ #sarcasm,0,0,0,0,0,0
160,@90Domer he better keep his mouth shut today. #annoying #sarcasm,1,0,0,0,0,0
161,90% of conversations with me : me : who is that me : what are you talking about me : I don't know what that is me : wait what #sarcasm,0,0,0,0,0,0
162,"90% of the people in the "" people you may know "" feature on Facebook are people that I know, but intentionally choose not to be friends with. #sarcasm",1,0,0,0,0,0
163,90 problems in math due tomorrow and haven't even started #lifeisgood #not #tomuch #MATHSUCKS #MATHDOESNTWORKGOODWITHMYBRAIN #HELPME #sarcasm,0,0,0,0,0,0
164,9:30 AM on a Thursday and I'm done with class! Perks of not having classes on Fridays! #sarcasm,0,0,0,0,0,0
165,930 on my birthday waiting for a met to go to theory test #TheJoys #sarcasm,0,0,0,0,0,0
166,"95% of the time when Im smiling at my phone it's bc of something I said, not something someone sent me. Im hilarious #sarcasm",0,0,0,0,0,0
167,96% of scottish MP's voted against the bedroom tax yet it was still put forward. Shows how fair the system is #not #VoteYes #sarcasm,1,0,0,0,0,0
168,@971theriver I'd give my right arm to see AC/DC here in Atlanta #sarcasm,0,0,0,0,0,0
169,"98% of the cars Rick Ross mentions he has, he can't even fit in. #sarcasm",1,0,0,0,0,0
170,99. 9% of my sentences start with oh my god yeah no basically wait so yeah like you know oh um what well but #sarcasm,0,0,0,0,0,0
171,99% guys get Turned On when they see two girls doing this.. Check my Last tweet and see for yourself. #sarcasm,1,0,0,0,0,0
172,9am - 9pm work day done. round 2 tomorrow #yayyyy #not #sarcasm,0,0,0,0,0,0
173,#9 Dorman and #8 West Ashley will be close as well... but a 9 beating an 8 is not really an upset... first-ever home p/o game for West Ash #sarcasm,0,0,0,0,0,0
174,9 match Accy let down by Celtic 1/10 and Rangers 1/4 why why why #pissedofftweet #sarcasm,0,0,0,0,0,0
175,"9 months before I was born, I went to a party with my dad, and left with my mom. #sarcasm",0,0,0,0,0,0
176,9 out of 10 doctors will agree that 1 out of 10 doctors is an idiot. #sarcasm,1,0,0,0,0,0
177,9 out of 10 men prefer a girl with a big butt. The 10th man prefers the other 9 men. #sarcasm,1,0,0,0,0,0
178,9 pm : I think I might go to bed early tonight 3 am : dammit! 7 am : ughhh school.. nooo one more minute in bed #sarcasm,0,0,0,0,0,0
179,9 year olds now worry about iphones and makeup when i was 9 i was worried about if miley was gonna pick jake or jessie on hannah montana #sarcasm,0,0,0,0,0,0
180,A14b : Going to Austin in August is essential. That chapter has simply exploded and I know it will be a great #iseslive #iseschats #sarcasm,0,0,0,0,0,0
181,aaaaand breathe and attempt sleep and stop stressing over work you physically cannot do and get off of twitter cody #sarcasm,1,0,0,0,0,0
182,Aaaaand so much for going to bed before 1:00 in the morning. I really need to get out of the habit of staying up so late. #yeahright #sarcasm,0,0,0,0,0,0
183,Aaaah Soo hot wow eish this weather thou #not interested face #sarcasm,0,0,0,0,0,0
184,@a_al24 it was getting too dry anyway! #NOT #sarcasm,0,0,0,0,0,0
185,@aamir_khan 1st U insult Hindustan of Intolerance & now U insult again by using Sakshi name for selfish gain #sarcasm,1,0,0,0,0,0
186,@Aaron_Hawk a walk of shame from the 24 hour computer lab 😁 yay me. #sarcasm,0,0,0,0,0,0
187,"aaron rodgers is okay, nothing to sneeze at... you all love calling these good qb's great & elite when they haven't done anything yet #sarcasm",1,0,0,0,0,0
188,A baby-sitter is a teenager acting like an adult while the adults are out acting like teenagers. #sarcasm,0,0,0,0,0,0
189,A baby's laughter is one of the most beautiful sounds you will ever hear. Unless it's 3am. And you're home alone. And you don't have a baby #sarcasm,0,0,0,0,0,0
190,@abbiedelaney7 I love my friends #youmakemesohappy #not #sarcasm,1,0,0,0,0,0
191,@Abby_whitman14 I passed out last time I gave blood. It's wasn't fun 😂 #sarcasm,0,0,0,0,0,0
192,@ABC i just heard about that thing & met a couple that drove out of there today. #sarcasm,0,0,0,0,0,0
193,@ABC i will till you a way for safe in nuclear test. #sarcasm,0,0,0,0,0,0
194,@ABC Police: Man shot after several people kick in apartment door via @kfor #sarcasm,0,0,0,0,0,0
195,@ABCPolitics @jjauthor said by the liar who covered for Hillary and Obama and spewed their lying Benhazi talking points on tv never forget #sarcasm,1,0,0,0,0,0
196,@ABCPolitics the definition of insanity is doing the same thing over and over again and expecting different results. Dems never learn #sarcasm,1,0,0,0,0,0
197,@ABCPolitics vote for me as your first female president but dont you dare address my gender. #sarcasm,1,0,0,0,0,0
198,@ABC the Obamas tell the world something: the black people can also be corrupt. #sarcasm,1,0,0,0,0,0
199,@ABC what about its failure space research station soon it will tell #sarcasm,1,0,0,0,0,0
200,@abdinoorx2 @fuck_stuart he ain't a lil kid that man was working for summer jam ain't no kid get that job #sarcasm,1,0,0,0,0,0
201,A beautiful face makes people love you. But a beautiful attitude is the one that will make them stay beside you. #YeahRight #GoodEvening #sarcasm,1,0,0,0,0,0
202,A bed designed like a toaster : it just launches your unwilling body out when the alarm goes. #sarcasm,0,0,0,0,0,0
203,Abercrombie & Fitch is so dark and loud I don't know if they're selling clothing or the girls from Taken. #sarcasm,1,0,0,0,0,0
204,@Abigailspanties wanna kiss then lick your asshole wet good then fill my dick inside with a hard spank mmmmmmmmmm #sarcasm,1,0,0,0,0,0
205,a big shoutout to all those people who write answers in textbooks #sarcasm,1,0,0,0,0,0
206,a big thanks to everyone who decided to piss me off today.. burn alive #sarcasm,1,0,0,0,0,0
207,"A body at rest tends to stay at rest "" should be an acceptable excuse for missing work. #sarcasm",0,0,0,0,0,0
208,About 69% of smokers want to quit completely. Here's five ways they can #sarcasm,0,0,0,0,0,0
209,About 8 days & im going to be whipping 🚗 #CantWait 😛 #sarcasm,0,0,0,0,0,0
210,About to be a fun 3 days... #not #sarcasm,0,0,0,0,0,0
211,about to board a flight to Vegas and taking this plane... #myluck #not #Patriotsfan #sarcasm,0,0,0,0,0,0
212,About to do a seminar. Serious power point styles #Not #CheesyKeynote #sarcasm,0,0,0,0,0,0
213,About to go babysit my favorite girls! Can't wait to spend some much needed time with them! #family #littlesisters @MaryNellAnthony #sarcasm,0,0,0,0,0,0
214,About to go to work on a test shoot for someone very special... #cantsaywho 😉 #excited #sohappy ❤ #sarcasm,0,0,0,0,0,0
215,About to make up an entire essay good think I'm creative 😅 #not #sarcasm,0,0,0,0,0,0
216,About to rip my contacts out and throw them on the floor. #not -today #sarcasm,0,0,0,0,0,0
217,"About to say, out loud, a word I've only seen in print. Wish me luck. #sarcasm",0,0,0,0,0,0
218,About to start a petition to cancel school tomorrow for #sarcasm,0,0,0,0,0,0
219,About to start this hair process 😪 rain fucked my day all up #sarcasm,0,0,0,0,0,0
220,Abso love missing the bus #sarcasm,0,0,0,0,0,0
221,Absolute joke the lack of response I'm getting from uni staff #studentservices #heretohelp #yeahright #sarcasm,1,0,0,0,0,0
222,"Absolutely awesome @Danielle_Bevan1 can't wait for the album for Christmas "" cough cough "" 😀😀 #sarcasm",0,0,0,0,0,0
223,absolutely delighted to still be awake at this hour. #fml #sarcasm,0,0,0,0,0,0
224,Absolutely fantastic result #NOT #sarcasm,0,0,0,0,0,0
225,Absolutely in love with ppl that ignore me #not #sarcasm,0,0,0,0,0,0
226,Absolutely love being left to hang #sarcasm,0,0,0,0,0,0
227,absolutely love being second choice to everybody! 😊 😊 😊 #sarcasm,0,0,0,0,0,0
228,Absolutely love being wide awake like #sarcasm,0,0,0,0,0,0
229,absolutely LOVE coming back to work - to a day of nothing but mtgs #sarcasm,0,0,0,0,0,0
230,Absolutely LOVE waking up to the sound of the garbage truck out my window... #Not #ResProbs #sarcasm,0,0,0,0,0,0
231,Absolutely loving how I'm on a bad school ID picture streak #sarcastictweet 😒 #sarcasm,0,0,0,0,0,0
232,Absolutely no one can text faster than a pissed off woman. #sarcasm,0,0,0,0,0,0
233,Absolutely PERFECT time to have a fire alarm #sarcasm,0,0,0,0,0,0
234,Absolutely perfect weather for a fire alarm to go off in the residence hall #sarcasm,0,0,0,0,0,0
235,abt to study for this test & theeeen ima attempt to sleep the rest of the day 😊 #sarcasm,0,0,0,0,0,0
236,@ABUDiapers SPACE problems : thought I was barely wet at all because the fit was so good and capacity so high. XD #sarcasm,0,0,0,0,0,0
237,"a bug flew in my nose and my mom is ttippin over mt everest. gee, i dont remember why i was dreading this day at all. #sarcasm",0,0,0,0,0,0
238,"a bunch of gay guys are in a hot tub and a condom floats up.. one of them says "" alright! Who farted?! "" #sarcasm",0,0,0,0,0,0
239,@Abyd56 pretty wet one. You are brave cycling in all the wind and rain we've been having recently. Hope all well with you. #sarcasm,0,0,0,0,0,0
240,A cancer will love you so much you wanna be left alone. Lmfao #sarcasm,0,0,0,0,0,0
241,"A car with a car rack looked like a police car, so I slowed down, only to realize I had been tricked into obeying the law FOR NO REASON. #sarcasm",0,0,0,0,0,0
242,Accept your past without regrets. Handle your present with confidence. Face your future without fear. #sarcasm,0,0,0,0,0,0
243,accidentally forgetting your headphones at home is like accidentally leaving your first born child at the gates of hell #sarcasm,0,0,0,0,0,0
244,"Accidentally missed the freeway exit for home, now I'm heading north to start a new life. #sarcasm",0,0,0,0,0,0
245,Accidentally punched myself in the face while tryin to pull my blanket up & if that doesnt accurately describe my life i dont know what does #sarcasm,0,0,0,0,0,0
246,accidentally sending ;) instead of :) and feeling like you've just offered them your body #sarcasm,0,0,0,0,0,0
247,Accidentally stepping on your pet is the worst thing ever. THEY TRUSTED YOU & YOU STEPPED ON THEM & THEY CAN'T EVEN UNDERSTAND YOUR APOLOGY. #sarcasm,0,0,0,0,0,0
248,"According to Astronomy, when you wish upon a star, you're actually a few million years too late. That star is dead. Just like your dreams. #sarcasm",0,0,0,0,0,0
249,"According to the 19 citations I got for trespassing and peeping, "" neighborhood watch "" isn't what I thought it was. #sarcasm",0,0,0,0,0,0
250,"according to the life plans I have set out, we have another 7 years to wait. #sarcasm",0,0,0,0,0,0
251,"According to WebMD I have something called "" Your Computer Is Not Connected To The Internet "" #sarcasm",0,0,0,0,0,0
252,Accounting problems about tacos makes homework so much more fun! #Not #sarcasm,0,0,0,0,0,0
253,AC has to be the biggest party campuses in America #Not #LameAsFuck #NiggasJustStudy #sarcasm,1,0,0,0,0,0
254,"@acid_for_blood i had a lot of fun with it when i homebrewed it but then i bricked the thing, lost all my saves, and it was never the same #sarcasm",0,0,0,0,0,0
255,@acidicccats they're great though I love Crash Course. I used it to review for my AP Bio exam 😂 #sarcasm,0,0,0,0,0,0
256,"A cliffhanger is just like a regular hanger, except you have to... wait for it #sarcasm",0,0,0,0,0,0
